nepali_date,english_date,n_month,n_year
2063-01-12,2006-04-25,baisakh,2063
2063-01-13,2006-04-26,baisakh,2063
2063-01-14,2006-04-27,baisakh,2063
2063-01-15,2006-04-28,baisakh,2063
2063-01-16,2006-04-29,baisakh,2063
2063-01-17,2006-04-30,baisakh,2063
2063-01-18,2006-05-01,baisakh,2063
2063-01-19,2006-05-02,baisakh,2063
2063-01-20,2006-05-03,baisakh,2063
2063-01-21,2006-05-04,baisakh,2063
2063-01-22,2006-05-05,baisakh,2063
2063-01-23,2006-05-06,baisakh,2063
2063-01-24,2006-05-07,baisakh,2063
2063-01-25,2006-05-08,baisakh,2063
2063-01-26,2006-05-09,baisakh,2063
2063-01-27,2006-05-10,baisakh,2063
2063-01-28,2006-05-11,baisakh,2063
2063-01-29,2006-05-12,baisakh,2063
2063-01-30,2006-05-13,baisakh,2063
2063-01-31,2006-05-14,baisakh,2063
2063-02-01,2006-05-15,jestha,2063
2063-02-02,2006-05-16,jestha,2063
2063-02-03,2006-05-17,jestha,2063
2063-02-04,2006-05-18,jestha,2063
2063-02-05,2006-05-19,jestha,2063
2063-02-06,2006-05-20,jestha,2063
2063-02-07,2006-05-21,jestha,2063
2063-02-08,2006-05-22,jestha,2063
2063-02-09,2006-05-23,jestha,2063
2063-02-10,2006-05-24,jestha,2063
2063-02-11,2006-05-25,jestha,2063
2063-02-12,2006-05-26,jestha,2063
2063-02-13,2006-05-27,jestha,2063
2063-02-14,2006-05-28,jestha,2063
2063-02-15,2006-05-29,jestha,2063
2063-02-16,2006-05-30,jestha,2063
2063-02-17,2006-05-31,jestha,2063
2063-02-18,2006-06-01,jestha,2063
2063-02-19,2006-06-02,jestha,2063
2063-02-20,2006-06-03,jestha,2063
2063-02-21,2006-06-04,jestha,2063
2063-02-22,2006-06-05,jestha,2063
2063-02-23,2006-06-06,jestha,2063
2063-02-24,2006-06-07,jestha,2063
2063-02-25,2006-06-08,jestha,2063
2063-02-26,2006-06-09,jestha,2063
2063-02-27,2006-06-10,jestha,2063
2063-02-28,2006-06-11,jestha,2063
2063-02-29,2006-06-12,jestha,2063
2063-02-30,2006-06-13,jestha,2063
2063-02-31,2006-06-14,jestha,2063
2063-03-01,2006-06-15,ashar,2063
2063-03-02,2006-06-16,ashar,2063
2063-03-03,2006-06-17,ashar,2063
2063-03-04,2006-06-18,ashar,2063
2063-03-05,2006-06-19,ashar,2063
2063-03-06,2006-06-20,ashar,2063
2063-03-07,2006-06-21,ashar,2063
2063-03-08,2006-06-22,ashar,2063
2063-03-09,2006-06-23,ashar,2063
2063-03-10,2006-06-24,ashar,2063
2063-03-11,2006-06-25,ashar,2063
2063-03-12,2006-06-26,ashar,2063
2063-03-13,2006-06-27,ashar,2063
2063-03-14,2006-06-28,ashar,2063
2063-03-15,2006-06-29,ashar,2063
2063-03-16,2006-06-30,ashar,2063
2063-03-17,2006-07-01,ashar,2063
2063-03-18,2006-07-02,ashar,2063
2063-03-19,2006-07-03,ashar,2063
2063-03-20,2006-07-04,ashar,2063
2063-03-21,2006-07-05,ashar,2063
2063-03-22,2006-07-06,ashar,2063
2063-03-23,2006-07-07,ashar,2063
2063-03-24,2006-07-08,ashar,2063
2063-03-25,2006-07-09,ashar,2063
2063-03-26,2006-07-10,ashar,2063
2063-03-27,2006-07-11,ashar,2063
2063-03-28,2006-07-12,ashar,2063
2063-03-29,2006-07-13,ashar,2063
2063-03-30,2006-07-14,ashar,2063
2063-03-31,2006-07-15,ashar,2063
2063-03-32,2006-07-16,ashar,2063
2063-04-01,2006-07-17,shrawan,2063
2063-04-02,2006-07-18,shrawan,2063
2063-04-03,2006-07-19,shrawan,2063
2063-04-04,2006-07-20,shrawan,2063
2063-04-05,2006-07-21,shrawan,2063
2063-04-06,2006-07-22,shrawan,2063
2063-04-07,2006-07-23,shrawan,2063
2063-04-08,2006-07-24,shrawan,2063
2063-04-09,2006-07-25,shrawan,2063
2063-04-10,2006-07-26,shrawan,2063
2063-04-11,2006-07-27,shrawan,2063
2063-04-12,2006-07-28,shrawan,2063
2063-04-13,2006-07-29,shrawan,2063
2063-04-14,2006-07-30,shrawan,2063
2063-04-15,2006-07-31,shrawan,2063
2063-04-16,2006-08-01,shrawan,2063
2063-04-17,2006-08-02,shrawan,2063
2063-04-18,2006-08-03,shrawan,2063
2063-04-19,2006-08-04,shrawan,2063
2063-04-20,2006-08-05,shrawan,2063
2063-04-21,2006-08-06,shrawan,2063
2063-04-22,2006-08-07,shrawan,2063
2063-04-23,2006-08-08,shrawan,2063
2063-04-24,2006-08-09,shrawan,2063
2063-04-25,2006-08-10,shrawan,2063
2063-04-26,2006-08-11,shrawan,2063
2063-04-27,2006-08-12,shrawan,2063
2063-04-28,2006-08-13,shrawan,2063
2063-04-29,2006-08-14,shrawan,2063
2063-04-30,2006-08-15,shrawan,2063
2063-04-31,2006-08-16,shrawan,2063
2063-05-01,2006-08-17,bhadra,2063
2063-05-02,2006-08-18,bhadra,2063
2063-05-03,2006-08-19,bhadra,2063
2063-05-04,2006-08-20,bhadra,2063
2063-05-05,2006-08-21,bhadra,2063
2063-05-06,2006-08-22,bhadra,2063
2063-05-07,2006-08-23,bhadra,2063
2063-05-08,2006-08-24,bhadra,2063
2063-05-09,2006-08-25,bhadra,2063
2063-05-10,2006-08-26,bhadra,2063
2063-05-11,2006-08-27,bhadra,2063
2063-05-12,2006-08-28,bhadra,2063
2063-05-13,2006-08-29,bhadra,2063
2063-05-14,2006-08-30,bhadra,2063
2063-05-15,2006-08-31,bhadra,2063
2063-05-16,2006-09-01,bhadra,2063
2063-05-17,2006-09-02,bhadra,2063
2063-05-18,2006-09-03,bhadra,2063
2063-05-19,2006-09-04,bhadra,2063
2063-05-20,2006-09-05,bhadra,2063
2063-05-21,2006-09-06,bhadra,2063
2063-05-22,2006-09-07,bhadra,2063
